Question,Answer
"What is the name of the author who was an intern at Amazon.com and a student at the Center for Intelligent Information Retrieval, Uni-versity of Massachusetts Amherst? (From page(s) 1)","(1).Daum e III, H.; and Marcu, D. 2006b. Domain adaptationfor statistical classifiers. Journal of artificial intelligenceresearch, 26: 101–126. Davidson, T.; Bhattacharya, D.; and Weber, I. 2019. RacialBias in Hate Speech and Abusive Language DetectionDatasets. InProceedings of the Third Workshop on AbusiveLanguage Online. Florence, Italy: Association for Compu-tational Linguistics.Devlin, J.; Chang, M.-W.; Lee, K.; Linguistics."
What is the best title of the article? (From page(s) 1),"Hate Speech Detection: Challengesand Solutions.PloS one, 14(8).Majumder, P., and Patel, D. 2019."
"What is the first study of UDA for hate speech detection? (From page(s) 1, 2)",et al. 2021).
What is the name of the research area that focuses on hate speech detection? (From page(s) 2),Task 5: Multilingual Detection of Hate Speech Against Immigrants and Task 5: Multilingual Detection of Hate Speech Against Immigrants and Task 5: Multilingual Detection of Hate Speech Against Immigrants and Task 5: Multilingual Detection of Hate Speech Against Immigrants and Task 5: Multilingual Detection of Hate Speech Against Immigrants and Task 5: Multilingual Detection of Hate Speech Against Immigrants and Task 5: Multilingual Detection of Hate Speech Against Immigrants and Task 5: Multilingual Detection
What is a common method for sam-pling data for hate speech detection? (From page(s) 2),Sentence biasresults in datasets biased toward author and topic
What is the name of the author who conducted cross-domain clas-sification to analyze the predictive power of a model con-structed from any hate speech data? (From page(s) 3),"Arango, A.; P erez, J.; and Poblete, B. 2019. Hate SpeechDetection is Not As Easy As You May Think: A Closer Lookat Model Validation. In Proceedings of the 42Nd Interna-tional ACM SIGIR Conference on Research and Develop-ment in Information Retrieval, SIGIR’19.Badjatiya, P.; Gupta, M.; and Varma, V. 2019. Stereotyp-ical Bias Removal for Hate Speech Detection Task UsingKnowledge-based Generalizations. InWWW ’19."
What is the main idea of the text generation approach? (From page(s) 3),Use a domain-adaptation approach to augmentthe training data with synthetic data in the language of the2
What is the name of the study that adapted this approach to hate speechdetection? (From page(s) 3),"ACM SIGIR Conference on Research and Develop-ment in Information Retrieval, SIGIR’19.Badjatiya, P.; Gupta, M.; and Varma, V. 2019. Stereotyp-ical Bias Removal for Hate Speech Detection Task UsingKnowledge-Based Generalizations. InWWW ’19.Basile, V.; Bosco, C.; Fersini, E.; Nozza, D.; Patti, V.;Rangel Pardo, F. M.; Rosso, P.; and Sanguinetti, M. 2019.Sem"
What is the lexicon from hate-base.org4 used as the hate speech lexicon? (From page(s) 4),H. Entries in H areunigrams (such as “criminal”) and phrases that mention of-fensive terms and a target group
What is the name of the tagging model that uses character-level and word-level information? (From page(s) 4),Glove word embeddingrepresentation
"What is the name of the target domain? (From page(s) 4, 5)",Un-supervised Domain Adaptation (UDA)
What is the name of the language used to label eDweak and eDtu? (From page(s) 5),Tian
"How many tweets did Davidson, Bhattacharya, and Weber collect? (From page(s) 5)","85.4 million tweets written by 33,458 users"
"What is the name of the dataset that is used for the ""Mul-tilingual detection of hate speech against immigrants andwomen in Twitter"" task? (From page(s) 6)",Task 5: Multilingual Detection of Hate Speech Against Immigrants and Women in Twitter
What is a word-biLSTM model that uses subwords to convert text to vectors? (From page(s) 6),"A Bidirectional Long Short TermMemory (BiLSTM) layer is applied on top of the concate-nated representations to obtain a contextual word represen-tation. Finally, a Softmax layer is applied on the word rep-resentation to obtain a probability distribution over the labelset."
